phrase,uri,ms
 فحذف الموصوف لدلاله الصفه عليه كقوله مررت بعاقل اي بانسان عاقل وقوله من وحش وجره اي من نواظر وحش وجره فحذف المضاف واقام المضاف اليه مقامه كقوله تعالي واسال القريه يوسف اي اهل القريه وجيد كجيد الرم ليس بفاحش اذا هي نصته ولا بمعطل الرم الظبي الابيض الخالص البياض والجمع ارام النص الرفع ومنه سمي ما تجلي عليه العروس منصه ,0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,24
 مهتدون وتلك حجتنا اتيناها ابراهيم علي قومه نرفع درجات من نشا ان ربك حكيم عليم ووهبنا له اسحاق ويعقوب كلا هدينا ونوحا هدينا من قبل ومن ذريته داوود وسليمان وايوب ويوسف وموسي وهارون وكذلك نجزي المحسنين وزكريا ويحيي وعيسي والياس كل من الصالحين واسماعيل واليسع ويونس ولوطا وكلا فضلنا علي العالمين ومن اباهم وذرياتهم واخوانهم واجتبيناهم وهديناهم الي صراط مستقيم ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,59
 الرحيم الر تلك ايات الكتاب المبين انا انزلناه قرانا عربيا لعلكم تعقلون نحن نقص عليك احسن القصص بما اوحينا اليك هذا القران وان كنت من قبله لمن الغافلين اذ قال يوسف لابيه يا ابت اني رايت احد عشر كوكبا والشمس والقمر رايتهم لي ساجدين قال يا بني لا تقصص رياك علي اخوتك فيكيدوا لك كيدا ان الشيطان للانسان عدو مبين ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,101
 من تاويل الاحاديث ويتم نعمته عليك وعلي ال يعقوب كما اتمها علي ابويك من قبل ابراهيم واسحاق ان ربك عليم حكيم لقد كان في يوسف واخوته ايات للسالين اذ قالوا ليوسف واخوه احب الي ابينا منا ونحن عصبه ان ابانا لفي ضلال مبين اقتلوا يوسف او اطرحوه ارضا يخل لكم وجه ابيكم وتكونوا من بعده قوما صالحين قال قال منهم ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,101
 اذا لخاسرون فلما ذهبوا به واجمعوا ان يجعلوه في غيابت الجب واوحينا اليه لتنبنهم بامرهم هذا وهم لا يشعرون وجاوا اباهم عشا يبكون قالوا يا ابانا انا ذهبنا نستبق وتركنا يوسف عند متاعنا فاكله الذب وما انت بممن لنا ولو كنا صادقين وجاوا علي قميصه بدم كذب قال بل سولت لكم انفسكم امرا فصبر جميل والله المستعان علي ما تصفون ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,102
 بضاعه والله عليم بما يعملون وشروه بثمن بخس دراهم معدوده وكانوا فيه من الزاهدين وقال الذي اشتراه من مصر لامراته اكرمي مثواه عسي ان ينفعنا او نتخذه ولدا وكذلك مكنا ليوسف في الارض ولنعلمه من تاويل الاحاديث والله غالب علي امره ولكن اكثر الناس لا يعلمون ولما بلغ اشده اتيناه حكما وعلما وكذلك نجزي المحسنين وراودته التي هو في بيتها ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,102
 قد من قبل فصدقت وهو من الكاذبين وان كان قميصه قد من دبر فكذبت وهو من الصادقين فلما راي قميصه قد من دبر قال انه من كيدكن ان كيدكن عظيم يوسف اعرض عن هذا واستغفري لذنبك انك كنت من الخاطين وقال نسوه في المدينه امرات العزيز تراود فتاها عن نفسه قد شغفها حبا انا لنراها في ضلال مبين فلما سمعت ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,102
 يابسات يا ايها الملا افتوني في رياي ان كنتم للريا تعبرون قالوا اضغاث احلام وما نحن بتاويل الاحلام بعالمين وقال الذي نجا منهما وادكر بعد امه انا انبكم بتاويله فارسلون يوسف ايها الصديق افتنا في سبع بقرات سمان ياكلهن سبع عجاف وسبع سنبلات خضر واخر يابسات لعلي ارجع الي الناس لعلهم يعلمون قال تزرعون سبع سنين دابا فما حصدتم فذروه ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,104
 الناس وفيه يعصرون وقال الملك اتوني به فلما جاه الرسول قال ارجع الي ربك فاساله ما بال النسوه اللاتي قطعن ايديهن ان ربي بكيدهن عليم قال ما خطبكن اذ راودتن يوسف عن نفسه قلن حاش لله ما علمنا عليه من سو قالت امرات العزيز الان حصحص الحق انا راودته عن نفسه وانه لمن الصادقين ذلك ليعلم اني لم اخنه بالغيب ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,104
 رحم ربي ان ربي غفور رحيم وقال الملك اتوني به استخلصه لنفسي فلما كلمه قال انك اليوم لدينا مكين امين قال اجعلني علي خزان الارض اني حفيظ عليم وكذلك مكنا ليوسف في الارض يتبوا منها حيث يشا نصيب برحمتنا من نشا ولا نضيع اجر المحسنين ولاجر الاخره خير للذين امنوا وكانوا يتقون وجا اخوه يوسف فدخلوا عليه فعرفهم وهم له ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,104
